lat,lon,age_mid,min_age,max_age,group,genesis_class,Minerals,Mn Ion,mindat ID,Locality containing Mineral
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,8008,"Adami No. 2 Mine & Others, Plaka Mines, Plaka, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.760833333333,24.048888888888996,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Coronadite,Mn^4+,8008,"Adami No. 2 Mine & Others, Plaka Mines, Plaka, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,1935,"Plaka Mine No. 80 (Filoni 80), Plaka Mines, Plaka, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.716666666667,24.013611111111004,11.9,3.6,20.2,Other,Supergene/oxidation product,Manganite,Mn^3+,1935,"Plaka Mine No. 80 (Filoni 80), Plaka Mines, Plaka, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.725833333333,24.013888888889,11.9,3.6,20.2,Other,Other/uncertain,Hetaerolite,Mn^3+,10470,"Sounion Mine No. 6 (""Exi Mine""), Agia Varvara Mines (St Barbara Mines), Sounion Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.760833333333,24.048888888888996,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Coronadite,Mn^4+,233207,"Sounion Mines, Sounion Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,10613,"Soureza Mines, Soureza Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,227890,"Verzeko Area (Verseco Area), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,227890,"Verzeko Area (Verseco Area), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.715555555556,24.052777777778005,11.9,3.6,20.2,Other,Other/uncertain,Chlorophoenicite,Mn^2+,8370,"Lavrion District Slag Localities, Lavreotiki, East Attica, Attica, Greece"
9.4816666666667,-13.777777777777999,104.3,102.6,106.0,Other,Other/uncertain,Kupletskite,Mn^2+,13674,"Los Archipelago (Los Islands), Guinea"
14.833055555556,-88.083055555556,17.0,17.0,17.0,C,Metamorphic Mn silicate,Bustamite,Mn^2+,68448,"El Mochito Mine, Santa Bárbara Department, Honduras"
48.383333333333,20.633333333332985,34.05,2.6,65.5,Other,Hydrothermal/metasomatic,Coronadite,Mn^4+,27136,"Villanytetõ Mine, Rudabánya, Rudabányai Mts, Borsod-Abaúj-Zemplén, Hungary"
47.939166666667,20.077499999999986,35.3,34.9,35.7,Other,Other/uncertain,Klajite,Mn^2+,66352,"RM-48 Adit (Lejtakna), Recsk, Mátra Mts, Heves, Hungary"
47.933055555556,18.833055555556,14.0,14.0,14.0,B,Burial diagenetic carbonate,Kutnohorite,Mn^2+,106221,"Bezina I. Adit, Márianosztra, Börzsöny Mts, Pest, Hungary"
47.933055555556,18.833055555556,14.0,14.0,14.0,B,Burial diagenetic carbonate,Kutnohorite,Mn^2+,1979,"Nagybörzsöny (Deutsch Pilsen; Deutschpilsen), Börzsöny Mts, Pest, Hungary"
56.406111111111,-3.8855555555556123,925.0,850.0,1000.0,C,Metamorphic Mn oxide (ambiguous default),Braunite,Mn^2+,25310,"Tirodi Mine, Tirodi, Balaghat District, Madhya Pradesh, India"
21.683333333333,79.73333333333301,925.0,850.0,1000.0,Other,Other/uncertain,Clino-suenoite,Mn^2+,25310,"Tirodi Mine, Tirodi, Balaghat District, Madhya Pradesh, India"
21.683333333333,79.73333333333301,925.0,850.0,1000.0,Other,Other/uncertain,Ferri-ghoseite,Mn^2+,25310,"Tirodi Mine, Tirodi, Balaghat District, Madhya Pradesh, India"
22.949722222222,74.51666666666699,1750.0,1700.0,1800.0,Other,Other/uncertain,Bixbyite,Mn^3+,10221,"Kajlidongri Mine, Jhabua District, Madhya Pradesh, India"
22.949722222222,74.51666666666699,1750.0,1700.0,1800.0,C,Metamorphic Mn oxide (ambiguous default),Jacobsite,Mn^2+,10221,"Kajlidongri Mine, Jhabua District, Madhya Pradesh, India"
-2.7166666666667,108.06666666667002,198.0,198.0,198.0,C,Metamorphic Mn oxide (ambiguous default),Hausmannite,Mn^2+,28528,"Kelapa-Kampit Mine (Klappa Kompit; Klappa-Kampit; Nam Salu), Belitung Island (Biliton Island), Bangka-Belitung Province, Sumatra, Indonesia"
33.439166666667,54.199166666667,77.9,66.0,89.8,Other,Other/uncertain,Hetaerolite,Mn^3+,25262,"Chah Khouni Mine (Chah Khoni Mine; Tschah Khuni Mine; El Khun Mine), Anarak District, Nain County (Nayin County), Isfahan, Iran"
